Time	Magnets_Z	Extension	dx	dy	z0	x0	y0	Piezo_pstn	Magnets_Moving	turns
sec	mm	nm	nm	nm	nm	nm	nm	y/n	 
208.521	-10.480	249.029	21.134	31.817	-96.914	11649.018	10121.854	10.390	0.000	-0.000
208.551	-10.480	234.767	29.911	39.116	-89.742	11647.405	10120.891	10.390	0.000	-0.000
208.561	-10.480	228.850	11.603	37.249	-84.305	11651.953	10121.153	10.390	0.000	-0.000
208.571	-10.480	237.931	8.821	31.714	-91.289	11647.569	10120.232	10.390	0.000	-0.000
208.580	-10.480	240.519	32.698	30.699	-95.212	11650.345	10120.571	10.390	0.000	-0.000
208.591	-10.480	226.884	15.717	34.735	-89.338	11649.657	10123.276	10.390	0.000	-0.000
208.601	-10.480	233.432	6.224	36.088	-93.462	11649.214	10123.496	10.390	0.000	-0.000
208.611	-10.480	230.478	9.654	37.603	-87.989	11650.697	10121.683	10.390	0.000	-0.000
208.622	-10.480	240.403	4.404	39.370	-91.461	11649.638	10115.379	10.390	0.000	-0.000
208.630	-10.480	228.533	10.792	28.146	-88.839	11647.898	10126.689	10.390	0.000	-0.000
208.640	-10.480	233.282	20.889	28.466	-94.411	11652.900	10122.033	10.390	0.000	-0.000
208.650	-10.480	235.454	22.201	34.888	-92.304	11650.979	10120.780	10.390	0.000	-0.000
208.660	-10.480	237.476	10.320	42.838	-99.712	11647.752	10125.317	10.390	0.000	-0.000
208.670	-10.480	239.572	23.191	30.926	-92.369	11648.134	10121.108	10.390	0.000	-0.000
208.680	-10.480	225.780	27.565	35.052	-91.979	11651.759	10120.310	10.390	0.000	-0.000
208.690	-10.480	229.947	4.172	44.155	-87.646	11649.069	10117.756	10.390	0.000	-0.000
208.700	-10.480	234.447	25.239	35.088	-88.254	11648.098	10122.976	10.390	0.000	-0.000
208.710	-10.480	236.717	6.565	33.064	-93.240	11650.539	10123.298	10.390	0.000	-0.000
208.720	-10.480	240.435	17.998	34.178	-91.334	11650.106	10120.546	10.390	0.000	-0.000
208.730	-10.480	231.756	-10.387	36.082	-96.847	11648.882	10123.405	10.390	0.000	-0.000
208.740	-10.480	225.465	42.153	33.166	-92.436	11650.458	10121.380	10.390	0.000	-0.000
