Time	Magnets_Z	Extension	dx	dy	z0	x0	y0	Piezo_pstn	Magnets_Moving	turns
sec	mm	nm	nm	nm	nm	nm	nm	y/n	 
906.350	-11.480	178.652	-59.317	-44.459	-103.677	11607.817	10056.176	10.464	0.000	-0.000
909.288	-11.480	183.284	-52.985	-37.688	-105.656	11607.907	10057.174	10.464	0.000	-0.000
909.299	-11.480	179.058	-60.456	-37.396	-99.188	11609.580	10058.900	10.464	0.000	-0.000
909.309	-11.480	186.513	-41.260	-35.221	-115.692	11612.043	10054.938	10.464	0.000	-0.000
909.320	-11.480	168.493	-50.153	-40.456	-97.819	11604.486	10053.256	10.464	0.000	-0.000
909.328	-11.480	185.756	-55.375	-33.330	-102.794	11608.508	10055.130	10.464	0.000	-0.000
909.338	-11.480	172.087	-60.871	-46.297	-94.113	11614.872	10058.675	10.464	0.000	-0.000
909.348	-11.480	171.878	-71.397	-37.190	-96.078	11608.092	10058.328	10.464	0.000	-0.000
909.358	-11.480	178.428	-57.538	-36.166	-101.431	11608.542	10055.284	10.464	0.000	-0.000
909.368	-11.480	182.208	-56.733	-47.529	-107.387	11611.829	10057.232	10.464	0.000	-0.000
909.378	-11.480	177.367	-45.485	-37.950	-94.351	11607.024	10051.812	10.464	0.000	-0.000
909.388	-11.480	174.831	-58.059	-41.999	-97.168	11607.773	10053.010	10.464	0.000	-0.000
909.398	-11.480	181.665	-46.357	-45.600	-102.875	11609.885	10057.671	10.464	0.000	-0.000
909.408	-11.480	170.149	-48.211	-43.711	-89.881	11610.432	10057.597	10.464	0.000	-0.000
909.418	-11.480	172.007	-50.476	-47.128	-97.482	11610.909	10054.219	10.464	0.000	-0.000
909.428	-11.480	183.639	-38.007	-36.959	-99.940	11608.588	10056.614	10.464	0.000	-0.000
909.438	-11.480	172.511	-57.258	-33.600	-91.344	11610.890	10058.045	10.464	0.000	-0.000
909.448	-11.480	174.813	-56.079	-49.486	-97.381	11609.895	10053.225	10.464	0.000	-0.000
909.457	-11.480	177.224	-33.207	-44.314	-102.423	11608.282	10059.812	10.464	0.000	-0.000
