Time	Magnets_Z	Extension	dx	dy	z0	x0	y0	Piezo_pstn	Magnets_Moving	turns
sec	mm	nm	nm	nm	nm	nm	nm	y/n	 
906.350	-11.480	182.520	-28.642	-55.428	-103.677	11607.817	10056.176	10.464	0.000	-0.000
909.288	-11.480	202.514	-26.234	-48.170	-105.656	11607.907	10057.174	10.464	0.000	-0.000
909.299	-11.480	181.147	-29.872	-47.536	-99.188	11609.580	10058.900	10.464	0.000	-0.000
909.309	-11.480	217.946	-52.499	-52.286	-115.692	11612.043	10054.938	10.464	0.000	-0.000
909.320	-11.480	204.409	-70.106	-42.614	-97.819	11604.486	10053.256	10.464	0.000	-0.000
909.328	-11.480	190.612	-44.782	-37.353	-102.794	11608.508	10055.130	10.464	0.000	-0.000
909.338	-11.480	190.854	-36.553	-56.184	-94.113	11614.872	10058.675	10.464	0.000	-0.000
909.348	-11.480	196.709	-33.521	-58.258	-96.078	11608.092	10058.328	10.464	0.000	-0.000
909.358	-11.480	198.589	-36.660	-40.336	-101.431	11608.542	10055.284	10.464	0.000	-0.000
909.368	-11.480	207.236	-35.254	-43.520	-107.387	11611.829	10057.232	10.464	0.000	-0.000
909.378	-11.480	199.965	-45.214	-40.972	-94.351	11607.024	10051.812	10.464	0.000	-0.000
909.388	-11.480	193.904	-61.729	-39.062	-97.168	11607.773	10053.010	10.464	0.000	-0.000
909.398	-11.480	205.458	-53.354	-42.627	-102.875	11609.885	10057.671	10.464	0.000	-0.000
909.408	-11.480	206.636	-86.969	-31.523	-89.881	11610.432	10057.597	10.464	0.000	-0.000
909.418	-11.480	221.831	-51.268	-50.796	-97.482	11610.909	10054.219	10.464	0.000	-0.000
909.428	-11.480	180.829	-5.908	-77.458	-99.940	11608.588	10056.614	10.464	0.000	-0.000
909.438	-11.480	197.048	-57.380	-47.945	-91.344	11610.890	10058.045	10.464	0.000	-0.000
909.448	-11.480	200.501	-76.791	-45.471	-97.381	11609.895	10053.225	10.464	0.000	-0.000
909.457	-11.480	194.637	-49.168	-50.666	-102.423	11608.282	10059.812	10.464	0.000	-0.000
909.467	-11.480	190.004	-41.980	-52.224	-97.285	11611.805	10057.661	10.464	0.000	-0.000
909.477	-11.480	210.930	-60.268	-49.843	-102.721	11610.922	10056.325	10.464	0.000	-0.000
909.488	-11.480	194.638	-80.491	-41.591	-90.609	11605.388	10055.507	10.464	0.000	-0.000
909.497	-11.480	195.663	-53.187	-40.689	-90.213	11612.407	10054.687	10.464	0.000	-0.000
909.507	-11.480	195.474	-50.330	-40.582	-93.656	11611.282	10055.303	10.464	0.000	-0.000
909.517	-11.480	197.546	-68.084	-44.304	-97.627	11606.365	10058.572	10.464	0.000	-0.000
909.527	-11.480	196.159	-46.457	-52.834	-96.052	11611.553	10056.290	10.464	0.000	-0.000
909.537	-11.480	201.727	-71.270	-51.183	-100.224	11608.861	10053.297	10.464	0.000	-0.000
909.547	-11.480	210.277	-66.685	-35.113	-92.500	11605.114	10056.359	10.464	0.000	-0.000
909.557	-11.480	187.354	-41.090	-56.032	-91.849	11612.809	10057.276	10.464	0.000	-0.000
909.567	-11.480	188.143	-37.546	-51.687	-96.582	11611.936	10055.834	10.464	0.000	-0.000
909.576	-11.480	215.882	-39.125	-44.799	-100.687	11603.969	10055.664	10.464	0.000	-0.000
909.586	-11.480	185.877	-8.287	-55.301	-94.614	11612.494	10054.045	10.464	0.000	-0.000
909.597	-11.480	199.261	-12.016	-50.584	-100.899	11613.446	10051.928	10.464	0.000	-0.000
909.607	-11.480	184.658	-12.502	-55.291	-91.393	11608.828	10055.827	10.464	0.000	-0.000
909.617	-11.480	189.261	-40.140	-53.382	-96.844	11613.405	10055.120	10.464	0.000	-0.000
909.626	-11.480	201.426	-78.400	-36.092	-94.472	11614.051	10054.379	10.464	0.000	-0.000
909.636	-11.480	205.791	-82.795	-43.574	-100.381	11606.752	10059.151	10.464	0.000	-0.000
909.646	-11.480	206.237	-59.436	-49.839	-96.072	11613.563	10055.376	10.464	0.000	-0.000
909.657	-11.480	195.001	-48.759	-46.467	-99.464	11611.951	10055.331	10.464	0.000	-0.000
909.666	-11.480	182.755	-76.914	-30.649	-92.934	11607.796	10052.051	10.464	0.000	-0.000
909.676	-11.480	202.843	-60.405	-40.914	-91.274	11608.628	10060.934	10.464	0.000	-0.000
909.686	-11.480	185.353	-87.813	-37.580	-81.996	11611.792	10054.303	10.464	0.000	-0.000
909.696	-11.480	195.439	-46.909	-48.198	-102.474	11607.411	10050.446	10.464	0.000	-0.000
909.705	-11.480	185.283	-57.156	-55.788	-83.865	11612.197	10056.810	10.464	0.000	-0.000
