Time	Magnets_Z	Extension	dx	dy	z0	x0	y0	Piezo_pstn	Magnets_Moving	turns
sec	mm	nm	nm	nm	nm	nm	nm	y/n	 
553.533	-10.480	215.963	-3879.508	-9394.641	-162.391	37487.897	17157.578	10.309	0.000	-0.000
553.562	-10.480	162.246	-3652.779	-8981.482	-150.934	37488.686	17159.918	10.309	0.000	-0.000
553.573	-10.480	346.956	-3510.575	-9320.833	-140.139	37476.795	17161.076	10.309	0.000	-0.000
553.583	-10.480	210.225	-3762.163	-9242.191	-153.589	37470.741	17160.408	10.309	0.000	-0.000
553.602	-10.480	201.565	-3656.613	-9362.155	-145.645	37479.377	17160.400	10.309	0.000	-0.000
553.612	-10.480	69.970	-3575.908	-9319.053	-147.779	37473.064	17161.259	10.304	0.000	-0.000
553.623	-10.480	114.520	-3586.163	-8880.488	-150.708	37482.117	17159.793	10.304	0.000	-0.000
553.632	-10.480	348.904	-3515.575	-8836.651	-149.082	37481.127	17160.773	10.304	0.000	-0.000
553.642	-10.480	81.970	-3677.251	-8930.275	-147.166	37476.000	17160.134	10.304	0.000	-0.000
553.652	-10.480	339.117	-3694.938	-8841.099	-146.573	37479.460	17157.693	10.304	0.000	-0.000
553.662	-10.480	61.374	-3736.104	-9276.187	-146.545	37481.807	17165.011	10.304	0.000	-0.000
553.671	-10.480	339.651	-3573.763	-9134.178	-144.245	37476.245	17158.286	10.304	0.000	-0.000
553.681	-10.480	135.083	-3718.117	-9249.246	-154.410	37475.944	17157.896	10.304	0.000	-0.000
553.692	-10.480	90.178	-3662.785	-9218.919	-152.914	37483.614	17167.360	10.304	0.000	-0.000
553.702	-10.480	93.662	-3739.495	-9087.607	-142.309	37481.432	17156.162	10.304	0.000	-0.000
553.731	-10.480	334.803	-3741.799	-9111.320	-147.608	37482.353	17156.316	10.304	0.000	-0.000
553.741	-10.480	325.901	-3679.059	-9338.768	-137.688	37469.452	17160.188	10.304	0.000	-0.000
553.752	-10.480	113.695	-3604.592	-9386.311	-145.260	37481.762	17161.451	10.304	0.000	-0.000
553.761	-10.480	203.788	-3734.991	-9184.574	-148.409	37485.118	17157.310	10.304	0.000	-0.000
553.771	-10.480	112.200	-3463.233	-9065.908	-142.033	37470.858	17163.548	10.304	0.000	-0.000
553.781	-10.480	157.819	-3369.233	-8970.269	-147.763	37480.545	17158.159	10.304	0.000	-0.000
553.791	-10.480	232.452	-3620.945	-8986.877	-149.878	37486.176	17157.354	10.304	0.000	-0.000
553.800	-10.480	122.568	-3583.619	-9021.696	-142.987	37470.945	17163.215	10.304	0.000	-0.000
553.811	-10.480	351.968	-3568.114	-9428.892	-154.200	37477.037	17159.904	10.304	0.000	-0.000
553.831	-10.480	133.337	-3800.623	-9359.233	-151.461	37472.928	17162.392	10.304	0.000	-0.000
553.840	-10.480	53.668	-3508.053	-9319.608	-146.259	37475.626	17161.149	10.304	0.000	-0.000
553.860	-10.480	69.688	-3731.027	-9225.737	-157.896	37473.639	17160.778	10.304	0.000	-0.000
553.871	-10.480	-0.684	-3394.128	-9133.939	-146.146	37474.945	17160.156	10.304	0.000	-0.000
553.900	-10.480	92.756	-3651.892	-9201.479	-154.339	37477.769	17158.417	10.304	0.000	-0.000
553.910	-10.480	85.376	-3666.594	-9255.605	-149.825	37484.122	17162.004	10.304	0.000	-0.000
553.920	-10.480	193.400	-3555.996	-9574.451	-145.711	37480.617	17161.577	10.304	0.000	-0.000
553.950	-10.480	371.325	-3438.264	-9200.790	-166.046	37482.015	17160.227	10.304	0.000	-0.000
554.019	-10.480	137.776	-3880.088	-9276.453	-156.092	37480.683	17157.274	10.304	0.000	-0.000
554.039	-10.480	79.238	-3803.162	-8773.279	-155.061	37479.999	17161.185	10.304	0.000	-0.000
554.049	-10.480	389.014	-3854.069	-9235.208	-158.457	37482.232	17153.398	10.304	0.000	-0.000
554.059	-10.480	109.128	-3468.537	-9453.767	-143.485	37470.339	17158.716	10.304	0.000	-0.000
554.069	-10.480	125.366	-3744.931	-9077.386	-157.761	37478.784	17160.768	10.304	0.000	-0.000
554.079	-10.480	257.362	-3795.318	-9343.753	-158.114	37482.992	17158.170	10.304	0.000	-0.000
554.088	-10.480	160.045	-3496.712	-9168.001	-144.189	37469.082	17162.379	10.304	0.000	-0.000
554.098	-10.480	138.765	-3772.445	-9393.450	-154.858	37478.581	17157.591	10.304	0.000	-0.000
554.109	-10.480	219.337	-3487.537	-9069.640	-162.891	37485.871	17161.823	10.304	0.000	-0.000
554.129	-10.480	211.616	-3575.365	-9616.380	-157.377	37475.227	17160.861	10.304	0.000	-0.000
554.138	-10.480	162.032	-3598.870	-9294.372	-155.259	37485.401	17162.832	10.304	0.000	-0.000
554.148	-10.480	342.083	-3587.313	-9026.584	-147.082	37477.594	17159.217	10.309	0.000	-0.000
554.158	-10.480	101.437	-3618.009	-9019.777	-150.168	37472.572	17157.434	10.309	0.000	-0.000
554.169	-10.480	326.703	-3698.832	-9421.540	-155.934	37482.511	17159.379	10.309	0.000	-0.000
554.188	-10.480	99.410	-3732.980	-9086.781	-150.916	37473.181	17157.404	10.309	0.000	-0.000
554.198	-10.480	132.576	-3495.535	-9378.276	-157.513	37479.185	17157.929	10.309	0.000	-0.000
554.208	-10.480	168.584	-3455.400	-9720.115	-163.611	37481.500	17160.939	10.309	0.000	-0.000
554.218	-10.480	83.908	-3582.185	-9658.235	-145.650	37474.900	17160.431	10.309	0.000	-0.000
